County,State,2010 Census,Base,2019-Pop
Clay,Florida,190865,190878,219252
Collier,Florida,321520,321522,384902
Columbia,Florida,67531,67526,71686
DeSoto,Florida,34862,34862,38001
Dixie,Florida,16422,16422,16826
Duval,Florida,864263,864253,957755
Escambia,Florida,297619,297620,318316
Flagler,Florida,95696,95692,115081
Franklin,Florida,11549,11549,12125
Gadsden,Florida,46389,47744,45660
Gilchrist,Florida,16939,16941,18582
Glades,Florida,12884,12881,13811
Gulf,Florida,15863,15863,13639
Hamilton,Florida,14799,14799,14428
Hardee,Florida,27731,27737,26937
Hendry,Florida,39140,39143,42022
Hernando,Florida,172778,172778,193920
Highlands,Florida,98786,98784,106221
Hillsborough,Florida,1229226,1229202,1471968
Holmes,Florida,19927,19923,19617
Indian River,Florida,138028,138028,159923
Jackson,Florida,49746,49764,46414
Jefferson,Florida,14761,14761,14246
Lafayette,Florida,8870,8868,8422
Lake,Florida,297052,297047,367118
Lee,Florida,618754,618755,770577
Leon,Florida,275487,275483,293582
Levy,Florida,40801,40798,41503
Liberty,Florida,8365,8365,8354
Madison,Florida,19224,19226,18493
Manatee,Florida,322833,322879,403253
Marion,Florida,331298,331299,365579
Martin,Florida,146318,146852,161000
Miami-Dade,Florida,2496435,2497993,2716940
Monroe,Florida,73090,73090,74228
Nassau,Florida,73314,73310,88625
Okaloosa,Florida,180822,180824,210738
Okeechobee,Florida,39996,39996,42168
Orange,Florida,1145956,1145957,1393452
Osceola,Florida,268685,268685,375751
Palm Beach,Florida,1320134,1320135,1496770
Pasco,Florida,464697,464705,553947
Pinellas,Florida,916542,916800,974996
Polk,Florida,602095,602073,724777
Putnam,Florida,74364,74377,74521
St Johns,Florida,190039,190038,264672
St Lucie,Florida,277789,277255,328297
Santa Rosa,Florida,151372,151371,184313
Sarasota,Florida,379448,379433,433742
Seminole,Florida,422718,422710,471826
Sumter,Florida,93420,93420,132420
Suwannee,Florida,41551,41555,44417
Taylor,Florida,22570,22574,21569
Union,Florida,15535,15535,15237
Volusia,Florida,494593,494596,553284
Wakulla,Florida,30776,30783,33739
Walton,Florida,55043,55046,74071
Washington,Florida,24896,24896,25473
Appling,Georgia,18236,18238,18386
Atkinson,Georgia,8375,8380,8165
Bacon,Georgia,11096,11097,11164
Baker,Georgia,3451,3447,3038
Baldwin,Georgia,45720,45840,44890
Banks,Georgia,18395,18379,19234
Barrow,Georgia,69367,69356,83240
Bartow,Georgia,100157,100092,107738
Ben Hill,Georgia,17634,17660,16700
Berrien,Georgia,19286,19293,19397
Bibb,Georgia,155547,155783,153159
Bleckley,Georgia,13063,13064,12873
Brantley,Georgia,18411,18428,19109
Brooks,Georgia,16243,16314,15457
Bryan,Georgia,30233,30215,39627
Bulloch,Georgia,70217,70243,79608
Burke,Georgia,23316,23326,22383
Butts,Georgia,23655,23695,24936
Calhoun,Georgia,6694,6697,6189
Camden,Georgia,50513,50512,54666
Candler,Georgia,10998,10999,10803
Carroll,Georgia,110527,110570,119992
Catoosa,Georgia,63942,63925,67580
Charlton,Georgia,12171,12171,13392
Chatham,Georgia,265128,265127,289430
Chattahoochee,Georgia,11267,11263,10907
Chattooga,Georgia,26015,26022,24789
Cherokee,Georgia,214346,214381,258773
Clarke,Georgia,116714,116688,128331
Clay,Georgia,3183,3186,2834
Clayton,Georgia,259424,259630,292256
Clinch,Georgia,6798,6792,6618
Cobb,Georgia,688078,688065,760141
Coffee,Georgia,42356,42347,43273
Colquitt,Georgia,45498,45496,45600
Columbia,Georgia,124053,124016,156714
Cook,Georgia,17212,17207,17270
Coweta,Georgia,127317,127369,148509
Crawford,Georgia,12630,12601,12404
Crisp,Georgia,23439,23433,22372
Dade,Georgia,16633,16643,16116
Dawson,Georgia,22330,22382,26108
Decatur,Georgia,27842,27842,26404
DeKalb,Georgia,691893,691961,759297
Dodge,Georgia,21796,21796,20605
Dooly,Georgia,14918,14925,13390
Dougherty,Georgia,94565,94564,87956
Douglas,Georgia,132403,132282,146343
Early,Georgia,11008,11008,10190
Echols,Georgia,4034,4023,4006
Effingham,Georgia,52250,52255,64296
Elbert,Georgia,20166,20164,19194
Emanuel,Georgia,22598,22596,22646
Evans,Georgia,11000,11002,10654
Fannin,Georgia,23682,23709,26188
Fayette,Georgia,106567,106560,114421
Floyd,Georgia,96317,96314,98498
Forsyth,Georgia,175511,175484,244252
Franklin,Georgia,22084,22093,23349
Fulton,Georgia,920581,920445,1063937
Gilmer,Georgia,28292,28294,31369
Glascock,Georgia,3082,3086,2971
Glynn,Georgia,79626,79627,85292
Gordon,Georgia,55186,55221,57963
Grady,Georgia,25011,25013,24633
Greene,Georgia,15994,15996,18324
Gwinnett,Georgia,805321,805286,936250
Habersham,Georgia,43041,43032,45328
Hall,Georgia,179684,179724,204441
Hancock,Georgia,9429,9401,8457
Haralson,Georgia,28780,28775,29792
Harris,Georgia,32024,31994,35236
Hart,Georgia,25213,25210,26205
Heard,Georgia,11834,11829,11923
Henry,Georgia,203922,203777,234561
Houston,Georgia,139900,139819,157863
