County,State,2010 Census,Base,2019-Pop
Haskell,Oklahoma,12769,12775,12627
Hughes,Oklahoma,14003,14000,13279
Jackson,Oklahoma,26446,26446,24530
Jefferson,Oklahoma,6472,6472,6002
Johnston,Oklahoma,10957,10957,11085
Kay,Oklahoma,46562,46562,43538
Kingfisher,Oklahoma,15034,15025,15765
Kiowa,Oklahoma,9446,9446,8708
Latimer,Oklahoma,11154,11156,10073
Le Flore,Oklahoma,50384,50382,49853
Lincoln,Oklahoma,34273,34274,34877
Logan,Oklahoma,41848,41854,48011
Love,Oklahoma,9423,9416,10253
McClain,Oklahoma,34506,34503,40474
McCurtain,Oklahoma,33151,33154,32832
McIntosh,Oklahoma,20252,20247,19596
Major,Oklahoma,7527,7526,7629
Marshall,Oklahoma,15840,15838,16931
Mayes,Oklahoma,41259,41266,41100
Murray,Oklahoma,13488,13488,14073
Muskogee,Oklahoma,70990,70997,67997
Noble,Oklahoma,11561,11566,11131
Nowata,Oklahoma,10536,10536,10076
Okfuskee,Oklahoma,12191,12191,11993
Oklahoma,Oklahoma,718633,718385,797434
Okmulgee,Oklahoma,40069,40062,38465
Osage,Oklahoma,47472,47473,46963
Ottawa,Oklahoma,31848,31848,31127
Pawnee,Oklahoma,16577,16570,16376
Payne,Oklahoma,77350,77347,81784
Pittsburg,Oklahoma,45837,45827,43654
Pontotoc,Oklahoma,37492,37488,38284
Pottawatomie,Oklahoma,69442,69443,72592
Pushmataha,Oklahoma,11572,11578,11096
Roger Mills,Oklahoma,3647,3647,3583
Rogers,Oklahoma,86905,86914,92459
Seminole,Oklahoma,25482,25482,24258
Sequoyah,Oklahoma,42391,42428,41569
Stephens,Oklahoma,45048,45047,43143
Texas,Oklahoma,20640,20640,19983
Tillman,Oklahoma,7992,7991,7250
Tulsa,Oklahoma,603403,603430,651552
Wagoner,Oklahoma,73085,73082,81289
Washington,Oklahoma,50976,50979,51527
Washita,Oklahoma,11629,11558,10916
Woods,Oklahoma,8878,8878,8793
Woodward,Oklahoma,20081,20084,20211
Baker,Oregon,16134,16131,16124
Benton,Oregon,85579,85581,93053
Clackamas,Oregon,375992,375996,418187
Clatsop,Oregon,37039,37026,40224
Columbia,Oregon,49351,49353,52354
Coos,Oregon,63043,63055,64487
Crook,Oregon,20978,20978,24404
Curry,Oregon,22364,22364,22925
Deschutes,Oregon,157733,157728,197692
Douglas,Oregon,107667,107684,110980
Gilliam,Oregon,1871,1873,1912
Grant,Oregon,7445,7444,7199
Harney,Oregon,7422,7422,7393
Hood River,Oregon,22346,22346,23382
Jackson,Oregon,203206,203204,220944
Jefferson,Oregon,21720,21725,24658
Josephine,Oregon,82713,82719,87487
Klamath,Oregon,66380,66384,68238
Lake,Oregon,7895,7885,7869
Lane,Oregon,351715,351705,382067
Lincoln,Oregon,46034,46033,49962
Linn,Oregon,116672,116681,129749
Malheur,Oregon,31313,31316,30571
Marion,Oregon,315335,315338,347818
Morrow,Oregon,11173,11175,11603
Multnomah,Oregon,735334,735146,812855
Polk,Oregon,75403,75400,86085
Sherman,Oregon,1765,1766,1780
Tillamook,Oregon,25250,25254,27036
Umatilla,Oregon,75889,75887,77950
Union,Oregon,25748,25744,26835
Wallowa,Oregon,7008,7008,7208
Wasco,Oregon,25213,25211,26682
Washington,Oregon,529710,529862,601592
Wheeler,Oregon,1441,1439,1332
Yamhill,Oregon,99193,99216,107100
Adams,Pennsylvania,101407,101428,103009
Allegheny,Pennsylvania,1223348,1223303,1216045
Armstrong,Pennsylvania,68941,69059,64735
Beaver,Pennsylvania,170539,170531,163929
Bedford,Pennsylvania,49762,49776,47888
Berks,Pennsylvania,411442,411570,421164
Blair,Pennsylvania,127089,127117,121829
Bradford,Pennsylvania,62622,62700,60323
Bucks,Pennsylvania,625249,625256,628270
Butler,Pennsylvania,183862,183880,187853
Cambria,Pennsylvania,143679,143695,130192
Cameron,Pennsylvania,5085,5085,4447
Carbon,Pennsylvania,65249,65244,64182
Centre,Pennsylvania,153990,154005,162385
Chester,Pennsylvania,498886,499133,524989
Clarion,Pennsylvania,39988,39988,38438
Clearfield,Pennsylvania,81642,81609,79255
Clinton,Pennsylvania,39238,39253,38632
Columbia,Pennsylvania,67295,67299,64964
Crawford,Pennsylvania,88765,88750,84629
Cumberland,Pennsylvania,235406,235387,253370
Dauphin,Pennsylvania,268100,268126,278299
Delaware,Pennsylvania,558979,558757,566747
Elk,Pennsylvania,31946,31946,29910
Erie,Pennsylvania,280566,280584,269728
Fayette,Pennsylvania,136606,136601,129274
Forest,Pennsylvania,7716,7709,7247
Franklin,Pennsylvania,149618,149631,155027
Fulton,Pennsylvania,14845,14844,14530
Greene,Pennsylvania,38686,38685,36233
Huntingdon,Pennsylvania,45913,46000,45144
Indiana,Pennsylvania,88880,88885,84073
Jefferson,Pennsylvania,45200,45189,43425
Juniata,Pennsylvania,24636,24637,24763
Lackawanna,Pennsylvania,214437,214415,209674
Lancaster,Pennsylvania,519445,519443,545724
Lawrence,Pennsylvania,91108,91157,85512
Lebanon,Pennsylvania,133568,133597,141793
Lehigh,Pennsylvania,349497,349675,369318
Luzerne,Pennsylvania,320918,320906,317417
Lycoming,Pennsylvania,116111,116102,113299
McKean,Pennsylvania,43450,43461,40625
Mercer,Pennsylvania,116638,116663,109424
Mifflin,Pennsylvania,46682,46679,46138
Monroe,Pennsylvania,169842,169841,170271
Montgomery,Pennsylvania,799874,799840,830915
Montour,Pennsylvania,18267,18256,18230
Northampton,Pennsylvania,297735,297712,305285
Northumberland,Pennsylvania,94528,94476,90843
Perry,Pennsylvania,45969,45931,46272
Philadelphia,Pennsylvania,1526006,1526012,1584064
Pike,Pennsylvania,57369,57338,55809
Potter,Pennsylvania,17457,17447,16526
Schuylkill,Pennsylvania,148289,148290,141359
Snyder,Pennsylvania,39702,39721,40372
Somerset,Pennsylvania,77742,77731,73447
Sullivan,Pennsylvania,6428,6429,6066
Susquehanna,Pennsylvania,43356,43327,40328
Tioga,Pennsylvania,41981,41904,40591
Union,Pennsylvania,44947,44963,44923
Venango,Pennsylvania,54984,54988,50668
Warren,Pennsylvania,41815,41811,39191
Washington,Pennsylvania,207820,207849,206865
Wayne,Pennsylvania,52822,52873,51361
Westmoreland,Pennsylvania,365169,365071,348899
Wyoming,Pennsylvania,28276,28283,26794
York,Pennsylvania,434972,435015,449058
Bristol,Rhode Island,49875,49844,48479
Kent,Rhode Island,166158,166109,164292
Newport,Rhode Island,82888,83141,82082
Providence,Rhode Island,626667,626781,638931
Washington,Rhode Island,126979,127089,125577
Abbeville,South Carolina,25417,25416,24527
Aiken,South Carolina,160099,160129,170872
Allendale,South Carolina,10419,10419,8688
Anderson,South Carolina,187126,186922,202558
Bamberg,South Carolina,15987,15972,14066
Barnwell,South Carolina,22621,22621,20866
Beaufort,South Carolina,162233,162219,192122
Berkeley,South Carolina,177843,178373,227907
Calhoun,South Carolina,15175,15178,14553
Charleston,South Carolina,350209,350128,411406
Cherokee,South Carolina,55342,55488,57300
Chester,South Carolina,33140,33159,32244
Chesterfield,South Carolina,46734,46722,45650
Clarendon,South Carolina,34971,34949,33745
Colleton,South Carolina,38892,38887,37677
Darlington,South Carolina,68681,68611,66618
Dillon,South Carolina,32062,32059,30479
Dorchester,South Carolina,136555,136144,162809
Edgefield,South Carolina,26985,26965,27260
Fairfield,South Carolina,23956,23959,22347
Florence,South Carolina,136885,136965,138293
Georgetown,South Carolina,60158,60311,62680
Greenville,South Carolina,451225,451211,523542
Greenwood,South Carolina,69661,69691,70811
Hampton,South Carolina,21090,21090,19222
Horry,South Carolina,269291,269146,354081
Jasper,South Carolina,24777,24791,30073
Kershaw,South Carolina,61697,61594,66551
Lancaster,South Carolina,76652,76651,98012
Laurens,South Carolina,66537,66513,67493
Lee,South Carolina,19220,19226,16828
Lexington,South Carolina,262391,262453,298750
McCormick,South Carolina,10233,10229,9463
Marion,South Carolina,33062,33058,30657
Marlboro,South Carolina,28933,28935,26118
Newberry,South Carolina,37508,37510,38440
Oconee,South Carolina,74273,74285,79546
Orangeburg,South Carolina,92501,92508,86175
Pickens,South Carolina,119224,119385,126884
Richland,South Carolina,384504,384425,415759
Saluda,South Carolina,19875,19860,20473
Spartanburg,South Carolina,284307,284304,319785
Sumter,South Carolina,107456,107485,106721
Union,South Carolina,28961,28973,27316
Williamsburg,South Carolina,34423,34410,30368
York,South Carolina,226073,226037,280979
Aurora,South Dakota,2710,2710,2751
Beadle,South Dakota,17398,17399,18453
Bennett,South Dakota,3431,3431,3365
Bon Homme,South Dakota,7070,7067,6901
Brookings,South Dakota,31965,31966,35077
Brown,South Dakota,36531,36532,38839
Brule,South Dakota,5255,5255,5297
Buffalo,South Dakota,1912,1913,1962
Butte,South Dakota,10110,10112,10429
Campbell,South Dakota,1466,1466,1376
Charles Mix,South Dakota,9129,9131,9292
Clark,South Dakota,3691,3691,3736
Clay,South Dakota,13864,13866,14070
Codington,South Dakota,27227,27225,28009
Corson,South Dakota,4050,4040,4086
Custer,South Dakota,8216,8218,8972
Davison,South Dakota,19504,19504,19775
Day,South Dakota,5710,5710,5424
Deuel,South Dakota,4364,4364,4351
Dewey,South Dakota,5301,5301,5892
Douglas,South Dakota,3002,3000,2921
Edmunds,South Dakota,4071,4071,3829
Fall River,South Dakota,7094,7094,6713
Faulk,South Dakota,2364,2364,2299
Grant,South Dakota,7356,7358,7052
Gregory,South Dakota,4271,4271,4185
Haakon,South Dakota,1937,1937,1899
Hamlin,South Dakota,5903,5899,6164
Hand,South Dakota,3431,3430,3191
Hanson,South Dakota,3331,3332,3453
Harding,South Dakota,1255,1255,1298
Hughes,South Dakota,17022,17022,17526
Hutchinson,South Dakota,7343,7343,7291
Hyde,South Dakota,1420,1420,1301
Jackson,South Dakota,3031,3030,3344
Jerauld,South Dakota,2071,2071,2013
Jones,South Dakota,1006,1006,903
Kingsbury,South Dakota,5148,5147,4939
Lake,South Dakota,11200,11202,12797
Lawrence,South Dakota,24097,24090,25844
Lincoln,South Dakota,44828,44823,61128
Lyman,South Dakota,3755,3755,3781
McCook,South Dakota,5618,5618,5586
McPherson,South Dakota,2459,2459,2379
Marshall,South Dakota,4656,4656,4935
Meade,South Dakota,25434,25440,28332
Mellette,South Dakota,2048,2043,2061
Miner,South Dakota,2389,2389,2216
Minnehaha,South Dakota,169468,169474,193134
Moody,South Dakota,6486,6493,6576
Oglala Lakota,South Dakota,13586,13586,14177
Pennington,South Dakota,100948,100960,113775
Perkins,South Dakota,2982,2991,2865
Potter,South Dakota,2329,2334,2153
Roberts,South Dakota,10149,10147,10394
Sanborn,South Dakota,2355,2355,2344
Spink,South Dakota,6415,6415,6376
Stanley,South Dakota,2966,2966,3098
Sully,South Dakota,1373,1368,1391
Todd,South Dakota,9612,9610,10177
Tripp,South Dakota,5644,5649,5441
Turner,South Dakota,8347,8349,8384
Union,South Dakota,14399,14398,15932
Walworth,South Dakota,5438,5438,5435
Yankton,South Dakota,22438,22438,22814
Ziebach,South Dakota,2801,2801,2756
Anderson,Tennessee,75129,75082,76978
Bedford,Tennessee,45058,45057,49713
Benton,Tennessee,16489,16491,16160
Bledsoe,Tennessee,12876,12874,15064
Blount,Tennessee,123010,123098,133088
Bradley,Tennessee,98963,98926,108110
Campbell,Tennessee,40716,40723,39842
Cannon,Tennessee,13801,13813,14678
Carroll,Tennessee,28522,28486,27767
Carter,Tennessee,57424,57383,56391
Cheatham,Tennessee,39105,39110,40667
Chester,Tennessee,17131,17145,17297
Claiborne,Tennessee,32213,32212,31959
Clay,Tennessee,7861,7853,7615
Cocke,Tennessee,35662,35642,36004
Coffee,Tennessee,52796,52803,56520
Crockett,Tennessee,14586,14576,14230
Cumberland,Tennessee,56053,56060,60520
Davidson,Tennessee,626681,626558,694144
Decatur,Tennessee,11757,11750,11663
DeKalb,Tennessee,18723,18722,20490
Dickson,Tennessee,49666,49650,53948
Dyer,Tennessee,38335,38330,37159
Fayette,Tennessee,38413,38439,41133
Fentress,Tennessee,17959,17962,18523
Franklin,Tennessee,41052,41064,42208
Gibson,Tennessee,49683,49687,49133
Giles,Tennessee,29485,29476,29464
Grainger,Tennessee,22657,22656,23320
Greene,Tennessee,68831,68825,69069
Grundy,Tennessee,13703,13726,13427
Hamblen,Tennessee,62544,62534,64934
Hamilton,Tennessee,336463,336477,367804
Hancock,Tennessee,6819,6811,6620
Hardeman,Tennessee,27253,27245,25050
Hardin,Tennessee,26026,26008,25652
Hawkins,Tennessee,56833,56826,56786
Haywood,Tennessee,18787,18807,17304
Henderson,Tennessee,27769,27780,28117
Henry,Tennessee,32330,32349,32345
Hickman,Tennessee,24690,24690,25178
Houston,Tennessee,8426,8429,8201
Humphreys,Tennessee,18538,18535,18582
Jackson,Tennessee,11638,11634,11786
Jefferson,Tennessee,51407,51668,54495
Johnson,Tennessee,18244,18240,17788
Knox,Tennessee,432226,432260,470313
Lake,Tennessee,7832,7832,7016
Lauderdale,Tennessee,27815,27822,25633
Lawrence,Tennessee,41869,41856,44142
Lewis,Tennessee,12161,12170,12268
Lincoln,Tennessee,33361,33354,34366
Loudon,Tennessee,48556,48561,54068
McMinn,Tennessee,52266,52287,53794
McNairy,Tennessee,26075,26082,25694
Macon,Tennessee,22248,22226,24602
Madison,Tennessee,98294,98303,97984
Marion,Tennessee,28237,28222,28907
Marshall,Tennessee,30617,30611,34375
Maury,Tennessee,80956,80932,96387
Meigs,Tennessee,11753,11766,12422
Monroe,Tennessee,44519,44498,46545
Montgomery,Tennessee,172331,172362,208993
Moore,Tennessee,6362,6342,6488
Morgan,Tennessee,21987,21986,21403
Obion,Tennessee,31807,31807,30069
Overton,Tennessee,22083,22082,22241
Perry,Tennessee,7915,7930,8076
Pickett,Tennessee,5077,5086,5048
Polk,Tennessee,16825,16821,16832
Putnam,Tennessee,72321,72339,80245
Rhea,Tennessee,31809,31804,33167
Roane,Tennessee,54181,54208,53382
Robertson,Tennessee,66283,66319,71813
Rutherford,Tennessee,262604,262588,332285
Scott,Tennessee,22228,22232,22068
Sequatchie,Tennessee,14112,14121,15026
Sevier,Tennessee,89889,89720,98250
Shelby,Tennessee,927644,927682,937166
Smith,Tennessee,19166,19150,20157
Stewart,Tennessee,13324,13313,13715
Sullivan,Tennessee,156823,156800,158348
Sumner,Tennessee,160645,160634,191283
Tipton,Tennessee,61081,61006,61599
Trousdale,Tennessee,7870,7864,11284
Unicoi,Tennessee,18313,18311,17883
Union,Tennessee,19109,19107,19972
Van Buren,Tennessee,5548,5558,5872
Warren,Tennessee,39839,39824,41277
Washington,Tennessee,122979,123063,129375
Wayne,Tennessee,17021,17025,16673
Weakley,Tennessee,35021,35015,33328
White,Tennessee,25841,25844,27345
Williamson,Tennessee,183182,183277,238412
Wilson,Tennessee,113993,114062,144657
Anderson,Texas,58458,58452,57735
Andrews,Texas,14786,14786,18705
Angelina,Texas,86771,86771,86715
Aransas,Texas,23158,23158,23510
Archer,Texas,9054,9061,8553
Armstrong,Texas,1901,1901,1887
Atascosa,Texas,44911,44923,51153
Austin,Texas,28417,28412,30032
Bailey,Texas,7165,7165,7000
Bandera,Texas,20485,20487,23112
Bastrop,Texas,74171,74217,88723
Baylor,Texas,3726,3726,3509
Bee,Texas,31861,31861,32565
Bell,Texas,310235,310159,362924
Bexar,Texas,1714773,1714781,2003554
Blanco,Texas,10497,10483,11931
Borden,Texas,641,641,654
Bosque,Texas,18212,18217,18685
Bowie,Texas,92565,92564,93245
Brazoria,Texas,313166,313117,374264
Brazos,Texas,194851,194861,229211
Brewster,Texas,9232,9232,9203
Briscoe,Texas,1637,1637,1546
Brooks,Texas,7223,7223,7093
Brown,Texas,38106,38106,37864
Burleson,Texas,17187,17187,18443
Burnet,Texas,42750,42711,48155
Caldwell,Texas,38066,38055,43664
Calhoun,Texas,21381,21382,21290
Callahan,Texas,13544,13545,13943
Cameron,Texas,406220,406215,423163
Camp,Texas,12401,12401,13094
Carson,Texas,6182,6184,5926
Cass,Texas,30464,30469,30026
Castro,Texas,8062,8063,7530
Chambers,Texas,35096,35107,43837
Cherokee,Texas,50845,50834,52646
Childress,Texas,7041,7041,7306
Clay,Texas,10752,10754,10471
Cochran,Texas,3127,3127,2853
Coke,Texas,3320,3317,3387
Coleman,Texas,8895,8893,8175
Collin,Texas,782341,781419,1034730
Collingsworth,Texas,3057,3057,2920
Colorado,Texas,20874,20872,21493
Comal,Texas,108472,108520,156209
Comanche,Texas,13974,13960,13635
Concho,Texas,4087,4087,2726
Cooke,Texas,38437,38436,41257
Coryell,Texas,75388,75474,75951
Cottle,Texas,1505,1506,1398
Crane,Texas,4375,4375,4797
Crockett,Texas,3719,3719,3464
Crosby,Texas,6059,6056,5737
Culberson,Texas,2398,2398,2171
Dallam,Texas,6703,6700,7287
Dallas,Texas,2368139,2367430,2635516
Dawson,Texas,13833,13833,12728
Deaf Smith,Texas,19372,19372,18546
Delta,Texas,5231,5232,5331
Denton,Texas,662614,662557,887207
DeWitt,Texas,20097,20097,20160
Dickens,Texas,2444,2441,2211
Dimmit,Texas,9996,9996,10124
Donley,Texas,3677,3726,3278
Duval,Texas,11782,11777,11157
Eastland,Texas,18583,18582,18360
Ector,Texas,137130,137136,166223
Edwards,Texas,2002,2002,1932
Ellis,Texas,149610,149610,184826
El Paso,Texas,800647,800633,839238
Erath,Texas,37890,37895,42698
Falls,Texas,17866,17863,17297
Fannin,Texas,33915,33910,35514
Fayette,Texas,24554,24552,25346
Fisher,Texas,3974,3978,3830
Floyd,Texas,6446,6446,5712
Foard,Texas,1336,1336,1155
Fort Bend,Texas,585375,584699,811688
Franklin,Texas,10605,10601,10725
Freestone,Texas,19816,19817,19717
Frio,Texas,17217,17217,20306
Gaines,Texas,17526,17526,21492
Galveston,Texas,291309,291312,342139
Garza,Texas,6461,6461,6229
Gillespie,Texas,24837,24828,26988
Glasscock,Texas,1226,1226,1409
Goliad,Texas,7210,7210,7658
Gonzales,Texas,19807,19811,20837
Gray,Texas,22535,22537,21886
Grayson,Texas,120877,120877,136212
Gregg,Texas,121730,121747,123945
Grimes,Texas,26604,26581,28880
Guadalupe,Texas,131533,131527,166847
Hale,Texas,36273,36206,33406
Hall,Texas,3353,3353,2964
Hamilton,Texas,8517,8512,8461
Hansford,Texas,5613,5613,5399
Hardeman,Texas,4139,4139,3933
Hardin,Texas,54635,54635,57602
Harris,Texas,4092459,4093176,4713325
Harrison,Texas,65631,65640,66553
Hartley,Texas,6062,6062,5576
Haskell,Texas,5899,5902,5658
Hays,Texas,157107,157103,230191
Hemphill,Texas,3807,3807,3819
Henderson,Texas,78532,78578,82737
Hidalgo,Texas,774769,774764,868707
Hill,Texas,35089,35088,36649
Hockley,Texas,22935,22927,23021
Hood,Texas,51182,51163,61643
Hopkins,Texas,35161,35163,37084
Houston,Texas,23732,23731,22968
Howard,Texas,35012,35012,36664
Hudspeth,Texas,3476,3476,4886
Hunt,Texas,86129,86144,98594
Hutchinson,Texas,22150,22251,20938
Irion,Texas,1599,1597,1536
Jack,Texas,9044,9041,8935
Jackson,Texas,14075,14075,14760
Jasper,Texas,35710,35710,35529
Jeff Davis,Texas,2342,2342,2274
Jefferson,Texas,252273,252277,251565
Jim Hogg,Texas,5300,5300,5200
Jim Wells,Texas,40838,40843,40482
Johnson,Texas,150934,150956,175817
Jones,Texas,20202,20192,20083
Karnes,Texas,14824,14828,15601
Kaufman,Texas,103350,103348,136154
Kendall,Texas,33410,33384,47431
Kenedy,Texas,416,413,404
Kent,Texas,808,808,762
Kerr,Texas,49625,49644,52600
Kimble,Texas,4607,4605,4337
King,Texas,286,285,272
Kinney,Texas,3598,3598,3667
Kleberg,Texas,32061,32061,30680
Knox,Texas,3719,3719,3664
Lamar,Texas,49793,49791,49859
Lamb,Texas,13977,13976,12893
Lampasas,Texas,19677,19675,21428
La Salle,Texas,6886,6886,7520
Lavaca,Texas,19263,19264,20154
Lee,Texas,16612,16609,17239
Leon,Texas,16801,16798,17404
Liberty,Texas,75643,75643,88219
Limestone,Texas,23384,23388,23437
Lipscomb,Texas,3302,3302,3233
Live Oak,Texas,11531,11533,12207
Llano,Texas,19301,19303,21795
Loving,Texas,82,82,169
Lubbock,Texas,278831,278918,310569
Lynn,Texas,5915,5915,5951
McCulloch,Texas,8283,8284,7984
McLennan,Texas,234906,234903,256623
McMullen,Texas,707,707,743
Madison,Texas,13664,13670,14284
Marion,Texas,10546,10535,9854
Martin,Texas,4799,4799,5771
Mason,Texas,4012,4013,4274
Matagorda,Texas,36702,36702,36643
Maverick,Texas,54258,54258,58722
Medina,Texas,46006,45993,51584
Menard,Texas,2242,2242,2138
Midland,Texas,136872,136872,176832
Milam,Texas,24757,24759,24823
Mills,Texas,4936,4941,4873
Mitchell,Texas,9403,9403,8545
Montague,Texas,19719,19720,19818
Montgomery,Texas,455746,455747,607391
Moore,Texas,21904,21904,20940
Morris,Texas,12934,12934,12388
Motley,Texas,1210,1205,1200
Nacogdoches,Texas,64524,64524,65204
Navarro,Texas,47735,47840,50113
Newton,Texas,14445,14445,13595
Nolan,Texas,15216,15213,14714
Nueces,Texas,340223,340223,362294
Ochiltree,Texas,10223,10223,9836
Oldham,Texas,2052,2052,2112
Orange,Texas,81837,81837,83396
Palo Pinto,Texas,28111,28132,29189
Panola,Texas,23796,23796,23194
Parker,Texas,116927,116949,142878
Parmer,Texas,10269,10269,9605
Pecos,Texas,15507,15507,15823
Polk,Texas,45413,45415,51353
Potter,Texas,121073,121078,117415
Presidio,Texas,7818,7817,6704
Rains,Texas,10914,10916,12514
Randall,Texas,120725,120720,137713
Reagan,Texas,3367,3367,3849
Real,Texas,3309,3309,3452
Red River,Texas,12860,12862,12023
Reeves,Texas,13783,13783,15976
Refugio,Texas,7383,7383,6948
Roberts,Texas,929,929,854
Robertson,Texas,16622,16620,17074
Rockwall,Texas,78337,78345,104915
Runnels,Texas,10501,10502,10264
Rusk,Texas,53330,53309,54406
Sabine,Texas,10834,10836,10542
San Augustine,Texas,8865,8861,8237
San Jacinto,Texas,26384,26378,28859
San Patricio,Texas,64804,64802,66730
San Saba,Texas,6131,6130,6055
Schleicher,Texas,3461,3461,2793
Scurry,Texas,16921,16919,16703
Shackelford,Texas,3378,3376,3265
Shelby,Texas,25448,25448,25274
Sherman,Texas,3034,3034,3022
Smith,Texas,209714,209725,232751
Somervell,Texas,8490,8491,9128
Starr,Texas,60968,60967,64633
Stephens,Texas,9630,9634,9366
Sterling,Texas,1143,1143,1291
Stonewall,Texas,1490,1490,1350
Sutton,Texas,4128,4128,3776
Swisher,Texas,7854,7859,7397
Tarrant,Texas,1809034,1810664,2102515
Taylor,Texas,131506,131515,138034
Terrell,Texas,984,984,776
Terry,Texas,12651,12651,12337
Throckmorton,Texas,1641,1641,1501
Titus,Texas,32334,32334,32750
Tom Green,Texas,110224,110228,119200
Travis,Texas,1024266,1024444,1273954
Trinity,Texas,14585,14675,14651
Tyler,Texas,21766,21760,21672
Upshur,Texas,39309,39311,41753
Upton,Texas,3355,3349,3657
Uvalde,Texas,26405,26405,26741
Val Verde,Texas,48879,48879,49025
Van Zandt,Texas,52579,52552,56590
Victoria,Texas,86793,86793,92084
Walker,Texas,67861,67860,72971
Waller,Texas,43205,43274,55246
Ward,Texas,10658,10658,11998
Washington,Texas,33718,33699,35882
Webb,Texas,250304,250304,276652
Wharton,Texas,41280,41280,41556
Wheeler,Texas,5410,5406,5056
Wichita,Texas,131500,131659,132230
Wilbarger,Texas,13535,13535,12769
Willacy,Texas,22134,22136,21358
Williamson,Texas,422679,422504,590551
Wilson,Texas,42918,42905,51070
Winkler,Texas,7110,7110,8010
Wise,Texas,59127,59115,69984
Wood,Texas,41964,41959,45539
Yoakum,Texas,7879,7879,8713
Young,Texas,18550,18550,18010
Zapata,Texas,14018,14018,14179
Zavala,Texas,11677,11677,11840
Beaver,Utah,6629,6629,6710
Box Elder,Utah,49975,49983,56046
Cache,Utah,112656,112656,128289
Carbon,Utah,21403,21403,20463
Daggett,Utah,1059,1061,950
Davis,Utah,306479,306492,355481
Duchesne,Utah,18607,18605,19938
Emery,Utah,10976,10976,10012
Garfield,Utah,5172,5172,5051
Grand,Utah,9225,9224,9754
Iron,Utah,46163,46163,54839
Juab,Utah,10246,10246,12017
Kane,Utah,7125,7125,7886
Millard,Utah,12503,12503,13188
Morgan,Utah,9469,9469,12124
Piute,Utah,1556,1557,1479
Rich,Utah,2264,2264,2483
Salt Lake,Utah,1029655,1029590,1160437
San Juan,Utah,14746,14745,15308
Sanpete,Utah,27822,27822,30939
Sevier,Utah,20802,20801,21620
Summit,Utah,36324,36324,42145
Tooele,Utah,58218,58218,72259
Uintah,Utah,32588,32588,35734
Utah,Utah,516564,516639,636235
Wasatch,Utah,23530,23525,34091
Washington,Utah,138115,138115,177556
Wayne,Utah,2778,2778,2711
Weber,Utah,231236,231218,260213
Addison,Vermont,36821,36818,36777
Bennington,Vermont,37125,37119,35470
Caledonia,Vermont,31227,31234,29993
Chittenden,Vermont,156545,156535,163774
Essex,Vermont,6306,6306,6163
Franklin,Vermont,47746,47759,49402
Grand Isle,Vermont,6970,6970,7235
Lamoille,Vermont,24475,24473,25362
Orange,Vermont,28936,28936,28892
Orleans,Vermont,27231,27234,27037
Rutland,Vermont,61642,61660,58191
Washington,Vermont,59534,59524,58409
Windham,Vermont,44513,44511,42222
Windsor,Vermont,56670,56658,55062
Accomack,Virginia,33164,33162,32316
Albemarle,Virginia,98970,98998,109330
Alleghany,Virginia,16250,16264,14860
Amelia,Virginia,12690,12695,13145
Amherst,Virginia,32353,32354,31605
Appomattox,Virginia,14973,15028,15911
Arlington,Virginia,207627,207696,236842
Augusta,Virginia,73750,73753,75558
Bath,Virginia,4731,4727,4147
Bedford,Virginia,68676,74929,78997
Bland,Virginia,6824,6824,6280
Botetourt,Virginia,33148,33152,33419
Brunswick,Virginia,17434,17426,16231
Buchanan,Virginia,24098,24102,21004
Buckingham,Virginia,17146,17140,17148
Campbell,Virginia,54842,54809,54885
Caroline,Virginia,28545,28554,30725
Carroll,Virginia,30042,30072,29791
Charles City,Virginia,7256,7256,6963
Charlotte,Virginia,12586,12597,11880
Chesterfield,Virginia,316236,316240,352802
Clarke,Virginia,14034,14025,14619
Craig,Virginia,5190,5175,5131
Culpeper,Virginia,46689,46688,52605
Cumberland,Virginia,10052,10039,9932
Dickenson,Virginia,15903,15877,14318
Dinwiddie,Virginia,28001,28012,28544
Essex,Virginia,11151,11149,10953
Fairfax,Virginia,1081726,1081703,1147532
Fauquier,Virginia,65203,65228,71222
Floyd,Virginia,15279,15291,15749
Fluvanna,Virginia,25691,25742,27270
Franklin,Virginia,56159,56128,56042
Frederick,Virginia,78305,78269,89313
Giles,Virginia,17286,17286,16720
Gloucester,Virginia,36858,36859,37348
Goochland,Virginia,21717,21692,23753
Grayson,Virginia,15533,15554,15550
Greene,Virginia,18403,18389,19819
Greensville,Virginia,12243,12245,11336
Halifax,Virginia,36241,36253,33911
Hanover,Virginia,99863,99850,107766
Henrico,Virginia,306935,306756,330818
Henry,Virginia,54151,54182,50557
Highland,Virginia,2321,2319,2190
Isle of Wight,Virginia,35270,35277,37109
James City,Virginia,67009,67379,76523
King and Queen,Virginia,6945,6940,7025
King George,Virginia,23584,23578,26836
King William,Virginia,15935,15927,17148
Lancaster,Virginia,11391,11390,10603
Lee,Virginia,25587,25589,23423
Loudoun,Virginia,312311,312348,413538
Louisa,Virginia,33153,33168,37591
Lunenburg,Virginia,12914,12916,12196
Madison,Virginia,13308,13306,13261
Mathews,Virginia,8978,8976,8834
Mecklenburg,Virginia,32727,32716,30587
Middlesex,Virginia,10959,10959,10582
Montgomery,Virginia,94392,94422,98535
Nelson,Virginia,15020,15015,14930
New Kent,Virginia,18429,18432,23091
Northampton,Virginia,12389,12391,11710
