County,,2010 Census,Base,2019-Pop,,,,,,,,,
Charlotte, Florida,"159,978","159,967","188,910",,,,,,,,,
Citrus, Florida,"141,236","141,230","149,657",,,,,,,,,
Clay, Florida,"190,865","190,878","219,252",,,,,,,,,
Collier, Florida,"321,520","321,522","384,902",,,,,,,,,
Columbia, Florida,"67,531","67,526","71,686",,,,,,,,,
DeSoto, Florida,"34,862","34,862","38,001",,,,,,,,,
Dixie, Florida,"16,422","16,422","16,826",,,,,,,,,
Duval, Florida,"864,263","864,253","957,755",,,,,,,,,
Escambia, Florida,"297,619","297,620","318,316",,,,,,,,,
Flagler, Florida,"95,696","95,692","115,081",,,,,,,,,
Franklin, Florida,"11,549","11,549","12,125",,,,,,,,,
Gadsden, Florida,"46,389","47,744","45,660",,,,,,,,,
Gilchrist, Florida,"16,939","16,941","18,582",,,,,,,,,
Glades, Florida,"12,884","12,881","13,811",,,,,,,,,
Gulf, Florida,"15,863","15,863","13,639",,,,,,,,,
Hamilton, Florida,"14,799","14,799","14,428",,,,,,,,,
Hardee, Florida,"27,731","27,737","26,937",,,,,,,,,
Hendry, Florida,"39,140","39,143","42,022",,,,,,,,,
Hernando, Florida,"172,778","172,778","193,920",,,,,,,,,
Highlands, Florida,"98,786","98,784","106,221",,,,,,,,,
Hillsborough, Florida,"1,229,226","1,229,202","1,471,968",,,,,,,,,
Holmes, Florida,"19,927","19,923","19,617",,,,,,,,,
Indian River, Florida,"138,028","138,028","159,923",,,,,,,,,
Jackson, Florida,"49,746","49,764","46,414",,,,,,,,,
Jefferson, Florida,"14,761","14,761","14,246",,,,,,,,,
Lafayette, Florida,"8,870","8,868","8,422",,,,,,,,,
Lake, Florida,"297,052","297,047","367,118",,,,,,,,,
Lee, Florida,"618,754","618,755","770,577",,,,,,,,,
Leon, Florida,"275,487","275,483","293,582",,,,,,,,,
Levy, Florida,"40,801","40,798","41,503",,,,,,,,,
Liberty, Florida,"8,365","8,365","8,354",,,,,,,,,
Madison, Florida,"19,224","19,226","18,493",,,,,,,,,
Manatee, Florida,"322,833","322,879","403,253",,,,,,,,,
Marion, Florida,"331,298","331,299","365,579",,,,,,,,,
Martin, Florida,"146,318","146,852","161,000",,,,,,,,,
Miami-Dade, Florida,"2,496,435","2,497,993","2,716,940",,,,,,,,,
Monroe, Florida,"73,090","73,090","74,228",,,,,,,,,
Nassau, Florida,"73,314","73,310","88,625",,,,,,,,,
Okaloosa, Florida,"180,822","180,824","210,738",,,,,,,,,
Okeechobee, Florida,"39,996","39,996","42,168",,,,,,,,,
Orange, Florida,"1,145,956","1,145,957","1,393,452",,,,,,,,,
Osceola, Florida,"268,685","268,685","375,751",,,,,,,,,
Palm Beach, Florida,"1,320,134","1,320,135","1,496,770",,,,,,,,,
Pasco, Florida,"464,697","464,705","553,947",,,,,,,,,
Pinellas, Florida,"916,542","916,800","974,996",,,,,,,,,
Polk, Florida,"602,095","602,073","724,777",,,,,,,,,
Putnam, Florida,"74,364","74,377","74,521",,,,,,,,,
St Johns, Florida,"190,039","190,038","264,672",,,,,,,,,
St Lucie, Florida,"277,789","277,255","328,297",,,,,,,,,
Santa Rosa, Florida,"151,372","151,371","184,313",,,,,,,,,
Sarasota, Florida,"379,448","379,433","433,742",,,,,,,,,
Seminole, Florida,"422,718","422,710","471,826",,,,,,,,,
Sumter, Florida,"93,420","93,420","132,420",,,,,,,,,
Suwannee, Florida,"41,551","41,555","44,417",,,,,,,,,
